Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5
486,0.005940798,0.006710853,0.006228771,0.006181494,0.006154415
487,0.005904516,0.006675192,0.006193525,0.006148236,0.00612076
488,0.00585563,0.006628465,0.006145182,0.00610509,0.006077597
489,0.005792967,0.00657026,0.006086842,0.006047797,0.006025127
490,0.005733256,0.006512294,0.006029339,0.00598921,0.005971217
491,0.005675436,0.0064537,0.005971766,0.00592848,0.005915107
492,0.005619418,0.00638793,0.005910798,0.005869818,0.005857497
493,0.005558733,0.006319246,0.00584613,0.005807234,0.005796659
494,0.005487632,0.006246496,0.005774588,0.005735864,0.0057295
495,0.005410964,0.006167374,0.005696629,0.005660242,0.005654013
496,0.005332267,0.00608547,0.005616274,0.005582958,0.005575611
497,0.005252692,0.005999062,0.005534978,0.005503244,0.005498994
498,0.005169359,0.005910945,0.00545062,0.005419557,0.005417372
499,0.005081431,0.005820312,0.005362387,0.005331075,0.00532994
500,0.0049968,0.005732352,0.005277263,0.005250252,0.005248839
501,0.004910125,0.00564346,0.005190646,0.005165628,0.005165787
502,0.004821616,0.005554402,0.005102993,0.005076404,0.00508093
503,0.004725257,0.005459564,0.005011287,0.004981885,0.004990834
504,0.004626491,0.005361693,0.00491599,0.004884632,0.00489783
505,0.004525363,0.00525697,0.004809912,0.004781195,0.004797928
506,0.004418247,0.005145408,0.004699605,0.004671458,0.004692147
507,0.004307539,0.005029703,0.00458686,0.004557931,0.004582836
508,0.004168512,0.004879735,0.004441743,0.004417504,0.004446255
509,0.004021902,0.004723555,0.004290949,0.0042698,0.004300102
510,0.003868774,0.004562253,0.004135543,0.004115871,0.00414542
511,0.003708847,0.004392405,0.003971385,0.003955969,0.00398757
512,0.003554875,0.004229182,0.003813045,0.003802756,0.003835486
513,0.003414774,0.004081795,0.003668726,0.003664949,0.003695936
514,0.003299435,0.003957765,0.003546648,0.00354763,0.003578213
515,0.003202665,0.003851598,0.00344366,0.003447103,0.0034785
516,0.003141329,0.00378057,0.003382851,0.003382344,0.003417122
517,0.00309813,0.00372937,0.003336352,0.003333911,0.003372572
518,0.003067006,0.003691402,0.00329923,0.003296244,0.003339214
519,0.003034938,0.003663155,0.00326969,0.003270261,0.003312725
520,0.003007191,0.00363758,0.003244157,0.003246615,0.003289814
521,0.002985822,0.003615976,0.003224532,0.003226459,0.003272177
522,0.002967386,0.003600546,0.003205893,0.003207437,0.003254822
523,0.002949641,0.003583373,0.003187389,0.003190075,0.003236915
524,0.002931743,0.003558678,0.003168546,0.003175792,0.003217498
525,0.002915157,0.003537916,0.003152258,0.003159645,0.003198214
526,0.002898823,0.00351859,0.003136839,0.003142426,0.00317905
527,0.002881986,0.003499264,0.003121397,0.003124672,0.00316256
528,0.002858645,0.003472137,0.003097098,0.00310014,0.003138748
529,0.002829997,0.003438378,0.003065094,0.003069984,0.0031087
530,0.002803416,0.003406925,0.003033009,0.003036374,0.003078304
531,0.002776708,0.003375837,0.003003122,0.003005184,0.003047554
532,0.002748817,0.0033443,0.002975474,0.002976512,0.003015271
533,0.002722684,0.003313497,0.002945056,0.002946808,0.002988487
534,0.002694897,0.003280347,0.002912965,0.002915107,0.002960507
535,0.002659884,0.003238221,0.002878117,0.002877617,0.002923254
536,0.002626064,0.003201652,0.002845003,0.002842759,0.002889116
537,0.002592525,0.003166967,0.002812362,0.002808767,0.002856306
538,0.002559545,0.003130341,0.002779704,0.002774968,0.002825851
539,0.00252518,0.003093878,0.0027463,0.002741623,0.002793021
540,0.002488953,0.003057161,0.002711724,0.002708328,0.002757372
541,0.002454992,0.003018587,0.002670857,0.002675918,0.002720279
542,0.002418637,0.002977371,0.002630944,0.002640253,0.002682063
543,0.002379099,0.002932599,0.002592871,0.00260009,0.00264255
544,0.002337972,0.002885671,0.002547864,0.002557867,0.002599027
545,0.002295129,0.002837106,0.002500596,0.002513543,0.002553677
546,0.002245949,0.002783021,0.00245004,0.002461812,0.002503937
547,0.00219748,0.002730663,0.002399233,0.002413135,0.002454336
548,0.002149061,0.002678545,0.002348103,0.002365169,0.002404611
549,0.002100078,0.002623565,0.002296688,0.002313462,0.002354808
550,0.002052531,0.002570062,0.002245641,0.002261617,0.002305496
551,0.002006279,0.002517893,0.002194822,0.002209494,0.002256543
552,0.001969606,0.002478279,0.002156878,0.002174018,0.00221902
553,0.001934668,0.002439745,0.002120228,0.002138948,0.002183324
554,0.001902383,0.002402877,0.002085566,0.002104534,0.002150407
555,0.001878832,0.002376948,0.00206263,0.002081414,0.002125275
556,0.001856523,0.002352774,0.002040814,0.002060059,0.002103506
557,0.00183478,0.002329795,0.002018487,0.002039831,0.002087553
558,0.001816293,0.00230572,0.00199775,0.002020811,0.002069303
559,0.001798416,0.002281876,0.001978187,0.002001967,0.002049476
560,0.001778083,0.002261686,0.001961322,0.001982463,0.002028039
561,0.001757276,0.002239915,0.001941527,0.001961334,0.002005235
562,0.001736282,0.00221721,0.001919903,0.00193925,0.001981649
563,0.001712104,0.002192207,0.001891904,0.001914659,0.001956231
564,0.001688816,0.002165487,0.001864473,0.00188945,0.001931406
565,0.001666316,0.002136957,0.001837503,0.001863523,0.001907078
