Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10
604,0.004274163,0.00403008,0.004287282,0.00410704,0.004207442,0.00407512,0.004199943,0.004203124,0.004727134,0.004189842
605,0.004148258,0.003904665,0.004157712,0.003982822,0.004080372,0.003951,0.004070731,0.004077424,0.004601941,0.004061435
606,0.00404413,0.003803947,0.004053039,0.003881444,0.003980355,0.003849956,0.003967794,0.003975822,0.00449982,0.003958339
607,0.003957873,0.003722969,0.003967997,0.003798588,0.00390104,0.003767285,0.003885654,0.003893372,0.004416151,0.003875406
608,0.003905708,0.003675498,0.003914381,0.003749361,0.003849843,0.003715474,0.00383718,0.00384271,0.004364041,0.003826223
609,0.003860711,0.003638192,0.003871338,0.003709259,0.003806359,0.003673158,0.003796525,0.003799828,0.00432017,0.003785665
610,0.00382274,0.003610968,0.003838762,0.003678174,0.003770456,0.003640224,0.003763573,0.003764602,0.004284419,0.003753618
611,0.003798762,0.003588301,0.003815267,0.003656941,0.003746833,0.003614411,0.003740082,0.003740587,0.004258595,0.003732589
612,0.003778008,0.003569945,0.003794979,0.00363728,0.003724855,0.003595037,0.00371923,0.00371949,0.00423447,0.003712205
613,0.003760519,0.003555956,0.003777941,0.003619215,0.003704545,0.003582181,0.003701053,0.003701349,0.004212067,0.003692479
614,0.00374383,0.003535608,0.003760179,0.003599748,0.003686064,0.00356681,0.003684522,0.003684933,0.004195329,0.003675457
615,0.003728653,0.003517078,0.003742825,0.003582355,0.003669779,0.003551301,0.003669013,0.003667836,0.004178308,0.003658728
616,0.003715718,0.003502491,0.00372631,0.003568448,0.003656611,0.003536094,0.003654859,0.003649499,0.004159975,0.00364208
617,0.003699352,0.00348759,0.003712239,0.003552977,0.003639561,0.003519886,0.003638402,0.003633774,0.004139609,0.003624884
618,0.003679362,0.003471973,0.003696592,0.003536165,0.003620437,0.00350374,0.003619934,0.003616977,0.004119058,0.003606997
619,0.003653331,0.003455201,0.003676164,0.003517506,0.00359915,0.003488676,0.003598499,0.003596487,0.004099655,0.003588203
620,0.003635448,0.003437771,0.003658913,0.00350125,0.00358135,0.003471594,0.003580167,0.003581041,0.004082133,0.003567708
621,0.003618894,0.003420352,0.003641883,0.00348521,0.003564529,0.003454089,0.003562118,0.003565906,0.004064477,0.003548195
622,0.003599266,0.003403286,0.003622269,0.003467335,0.003547838,0.003436533,0.003541804,0.003546737,0.004044117,0.00353389
623,0.003583728,0.003386468,0.003603199,0.003450786,0.003532182,0.003418874,0.003520119,0.003528319,0.004025876,0.003517491
624,0.003568752,0.003369527,0.003583932,0.003433647,0.003516662,0.00340091,0.003499541,0.0035102,0.004007778,0.003499798
625,0.003549372,0.003352145,0.003563479,0.003412322,0.003500355,0.003382421,0.003486404,0.003492499,0.003987048,0.003481013
626,0.003530836,0.00333696,0.003544957,0.003395533,0.003481007,0.003366779,0.003472836,0.003474845,0.003966233,0.003465023
627,0.003512447,0.003322195,0.003526674,0.003380051,0.00346051,0.003351616,0.003458137,0.003456786,0.003945216,0.003449843
628,0.00349274,0.00330316,0.003503639,0.003359173,0.003442312,0.003330184,0.003435385,0.003435501,0.0039234,0.003431611
629,0.003471303,0.003285024,0.003483611,0.003337318,0.00342286,0.003311039,0.003412544,0.003414164,0.003902465,0.003409516
630,0.003449367,0.0032673,0.003465411,0.00331568,0.003402629,0.003293235,0.003390129,0.003392986,0.003882424,0.003385604
631,0.003434047,0.003248296,0.003445878,0.003302531,0.003383525,0.003274086,0.003372688,0.003374101,0.003865576,0.003369484
632,0.003416102,0.003230449,0.003427108,0.003286309,0.003364745,0.003255096,0.00335444,0.00335579,0.00384594,0.003351352
633,0.003395598,0.003213833,0.00340918,0.003267077,0.003346368,0.003236345,0.003335458,0.003338126,0.003823583,0.00333128
634,0.003375458,0.003195324,0.003388385,0.003250704,0.003325893,0.00322206,0.003318017,0.003322686,0.003805394,0.003306377
635,0.003352937,0.003178936,0.003368531,0.003232503,0.003307526,0.003203773,0.003300383,0.003305132,0.003783934,0.00328703
636,0.003328075,0.003164665,0.003349627,0.003212507,0.003291262,0.003181533,0.003282571,0.003285496,0.003759246,0.003273209
637,0.003319684,0.00314492,0.003333218,0.003200372,0.003273992,0.003165137,0.003263053,0.003267903,0.003740403,0.00325829
638,0.00330576,0.00312623,0.003316554,0.003186204,0.00325753,0.003150073,0.003244984,0.003251171,0.003722084,0.003243251
639,0.003283582,0.00310907,0.00329948,0.003168985,0.003242235,0.003136958,0.003229035,0.003235686,0.003704508,0.003228001
640,0.003266505,0.003091767,0.003282158,0.003151152,0.003223578,0.003118979,0.003210789,0.003213119,0.003686761,0.003212263
641,0.003245813,0.003075967,0.003263625,0.003132841,0.003203527,0.003101566,0.003192635,0.003193012,0.003667603,0.003194701
642,0.003218778,0.003062448,0.00324328,0.003113885,0.003181906,0.003085801,0.003174983,0.003177785,0.003646321,0.003174441
643,0.003201737,0.003041787,0.003225659,0.003095302,0.00316194,0.003066837,0.003156699,0.003157119,0.003626384,0.003154973
644,0.003182884,0.003020892,0.003207522,0.003076959,0.003142397,0.003045473,0.003136424,0.003135433,0.00360469,0.003134315
645,0.003157255,0.00300142,0.003187555,0.003059178,0.003123504,0.003019422,0.003111738,0.003112881,0.003578615,0.003110761
646,0.003135039,0.002981475,0.003163506,0.003040898,0.003102818,0.00298521,0.003088263,0.003090275,0.003550322,0.003085302
647,0.003114422,0.002959581,0.003137687,0.003021287,0.003079092,0.002950995,0.003063752,0.003067833,0.003523426,0.003059755
648,0.003095797,0.002933577,0.003110376,0.002999029,0.003049468,0.00292201,0.003036312,0.003046054,0.003501449,0.00303542
649,0.003067107,0.002908753,0.003086079,0.002972813,0.003022892,0.002903814,0.003012382,0.003021708,0.003477215,0.003012046
650,0.003037045,0.002884038,0.003061387,0.002945688,0.00299624,0.002885648,0.002987999,0.002996125,0.003451141,0.002988457
651,0.003010435,0.002859453,0.003034534,0.002919418,0.002968195,0.002861549,0.002960998,0.002969737,0.003422632,0.00296435
652,0.002980106,0.00283022,0.003003361,0.002886981,0.002939066,0.002834951,0.002929213,0.002942718,0.003393948,0.002937107
653,0.002948518,0.002798729,0.002969593,0.002852137,0.002909966,0.002805257,0.00289545,0.002912913,0.003362619,0.002907103
654,0.002915127,0.002762388,0.002929274,0.002813309,0.002881601,0.002765248,0.002858059,0.002872179,0.003320458,0.002868757
655,0.002869065,0.002724639,0.002883509,0.002775392,0.002840108,0.002723546,0.002816832,0.002828075,0.003274484,0.002827527
656,0.002816237,0.002683931,0.002833541,0.002733087,0.002791396,0.002679512,0.002772367,0.002779802,0.003224633,0.002780589
657,0.002759773,0.002634926,0.002777652,0.0026724,0.002737844,0.002630473,0.002722896,0.002721922,0.003167217,0.002716714
658,0.002694822,0.002568401,0.002712459,0.00260739,0.002667823,0.002571582,0.002659874,0.002654365,0.003104055,0.002649856
659,0.002627537,0.002496863,0.002644889,0.00254215,0.0025938,0.002510177,0.00259373,0.002586202,0.003038369,0.002583579
660,0.002563149,0.002433352,0.002581433,0.002480722,0.002529775,0.002453521,0.002536279,0.002529609,0.002970206,0.002521879
