Var1,Var2_1,Var2_2,Var2_3,Var2_4
725,0.000171503,0.000180784,0.000210686,0.00018333
726,0.000158908,0.000176961,0.000198636,0.000175433
727,0.000151293,0.000165244,0.000191273,0.00016779
728,0.000141613,0.000151947,0.000181847,0.000154509
729,0.000130985,0.000139088,0.0001705,0.000140568
730,0.000122202,0.00013234,0.000157108,0.000139174
731,0.00011173,0.000121156,0.000147631,0.000131292
732,0.000100816,0.000109187,0.000140371,0.000121365
733,9.05E-05,0.000100899,0.00013487,0.000113747
734,8.48E-05,9.86E-05,0.000130249,0.000105425
735,8.15E-05,9.62E-05,0.000122656,9.79E-05
736,8.09E-05,9.02E-05,0.000107518,9.20E-05
737,7.65E-05,9.15E-05,9.59E-05,8.82E-05
738,7.32E-05,8.79E-05,8.80E-05,8.46E-05
739,7.30E-05,7.44E-05,8.43E-05,8.07E-05
740,7.04E-05,7.52E-05,8.70E-05,7.74E-05
741,6.50E-05,7.38E-05,9.16E-05,7.77E-05
742,5.71E-05,6.87E-05,9.74E-05,8.14E-05
743,5.83E-05,6.53E-05,9.80E-05,7.60E-05
744,6.04E-05,6.28E-05,9.67E-05,7.40E-05
745,6.31E-05,6.19E-05,9.33E-05,7.50E-05
746,6.47E-05,6.97E-05,8.73E-05,7.28E-05
747,6.47E-05,6.98E-05,8.56E-05,7.25E-05
748,6.33E-05,6.59E-05,8.60E-05,7.32E-05
749,6.10E-05,6.71E-05,8.33E-05,7.31E-05
750,6.09E-05,6.74E-05,7.78E-05,7.34E-05
751,6.15E-05,6.75E-05,7.27E-05,7.26E-05
752,6.15E-05,6.80E-05,7.11E-05,6.87E-05
753,5.97E-05,6.78E-05,7.39E-05,6.82E-05
754,5.93E-05,6.71E-05,7.75E-05,6.87E-05
755,6.18E-05,6.62E-05,8.06E-05,6.94E-05
756,6.06E-05,6.47E-05,8.06E-05,7.18E-05
757,5.94E-05,6.30E-05,8.32E-05,7.17E-05
758,5.84E-05,6.11E-05,8.89E-05,6.91E-05
759,5.62E-05,5.89E-05,8.25E-05,6.79E-05
760,5.37E-05,5.65E-05,8.05E-05,6.53E-05
761,4.99E-05,5.36E-05,8.24E-05,6.10E-05
762,4.32E-05,5.37E-05,8.04E-05,6.38E-05
763,3.91E-05,5.44E-05,7.59E-05,7.40E-05
764,3.83E-05,5.69E-05,7.37E-05,8.48E-05
